date,team,opponent,location,MOV,OffRtg_diff,DefRtg_diff,ThreePA_diff,TOV_diff,ORB_diff,DRB_diff,RecentForm_diff,SOS_diff,Pace_diff
2026-03-05,Southern Mississippi,James Madison,0,6,-4.770766129032268,-3.9441532258064456,-6.762096774193548,1.672379032258064,0.6139112903225801,-0.8195564516129039,-7.2,0.0,2.299999999999997
2026-03-07,Southern Mississippi,Appalachian State,0,13,-3.4116324535679468,4.429618768328439,-9.20136852394917,3.3753665689149557,-0.7751710654936463,-1.2649071358748785,1.3999999999999995,0.5,5.299999999999997
2025-11-15,Southern Utah,Omaha,-1,-5,1.8999999999999915,-16.866666666666674,3.666666666666668,1.333333333333334,6.666666666666666,12.333333333333336,17.0,2.4,2.3000000000000114
2025-11-17,Southern Utah,Gonzaga,-1,-72,-13.424999999999997,22.89999999999999,3.5,3.25,-1.0,-1.5,-24.0,-12.299999999999999,0.9000000000000057
2025-11-28,Southern Utah,Robert Morris,-1,-7,-7.699999999999989,10.257142857142853,-0.7142857142857153,-0.8571428571428577,-5.857142857142856,2.571428571428573,-15.4,1.0,4.200000000000003
2025-12-06,Southern Utah,Oregon State,-1,-11,-0.1766666666666623,-0.968888888888884,0.06666666666666643,0.655555555555555,1.855555555555556,3.055555555555557,14.799999999999999,-4.1,4.300000000000011
2025-12-18,Southern Utah,Northern Arizona,-1,-8,2.2933333333333366,4.611666666666665,4.533333333333331,1.2166666666666668,0.38333333333333464,2.083333333333332,10.799999999999999,2.4,6.200000000000003
2026-01-10,Southern Utah,California Baptist,-1,-3,-4.353308823529417,8.148161764705875,4.610294117647058,0.7169117647058822,-3.6029411764705888,0.3014705882352935,-15.8,-1.9000000000000001,2.9000000000000057
2026-01-17,Southern Utah,Abilene Christian,1,22,-2.049999999999997,6.455555555555563,6.0,0.2222222222222232,-0.44444444444444464,5.0,-4.4,0.6999999999999997,1.7000000000000028
2026-01-31,Southern Utah,Abilene Christian,-1,3,1.0045454545454504,5.8700000000000045,4.768181818181816,0.0636363636363626,-0.704545454545455,4.886363636363637,11.4,0.6999999999999997,1.7000000000000028
2026-02-12,Southern Utah,California Baptist,1,-17,-2.3041666666666742,8.970833333333317,3.791666666666668,2.041666666666668,-3.125,-0.29166666666666785,-9.0,-1.9000000000000001,2.9000000000000057
2026-02-21,Southern Utah,Abilene Christian,-1,-4,2.8159544159544225,7.503276353276348,3.162393162393162,0.08547008547008694,-0.6951566951566956,4.394586894586894,-3.2,0.6999999999999997,1.7000000000000028
2026-03-07,Southern Utah,California Baptist,1,-7,-0.9433333333333422,11.259999999999991,2.3999999999999986,2.4333333333333336,-3.2333333333333325,-0.6666666666666679,-7.0,-1.9000000000000001,2.9000000000000057
2025-11-20,St. Bonaventure,Robert Morris,1,14,4.624999999999986,4.474999999999994,-7.0,-4.25,-2.25,-2.25,-0.5,4.6,1.0999999999999943
2025-11-25,St. Bonaventure,North Carolina,0,-15,0.6799999999999926,17.980000000000018,-10.0,0.5999999999999996,2.5999999999999996,-10.0,-14.4,-10.1,-1.2999999999999972
2025-11-27,St. Bonaventure,East Carolina,0,9,20.13333333333334,-7.950000000000017,-1.0,-3.0,3.166666666666666,-1.3333333333333357,23.0,2.7,-2.299999999999997
2025-11-30,St. Bonaventure,Florida Atlantic,-1,5,-4.571428571428584,-3.585714285714289,-7.285714285714285,1.1428571428571441,-0.4285714285714288,-1.1428571428571423,-2.5999999999999996,-0.19999999999999996,-3.0
2025-12-06,St. Bonaventure,Buffalo,-1,8,-6.474999999999994,-7.893055555555549,-5.541666666666668,2.416666666666666,3.125,2.1111111111111107,1.0,4.3,0.20000000000000284
2025-12-10,St. Bonaventure,Colgate,1,8,0.21999999999998465,-4.900000000000006,-1.8000000000000007,1.8000000000000007,4.799999999999999,-1.8999999999999986,-8.6,6.2,-0.29999999999999716
2025-12-13,St. Bonaventure,Ohio,0,-5,8.802020202020202,-15.532323232323236,-3.09090909090909,0.8888888888888893,2.0303030303030294,1.5959595959595951,15.8,3.2,-2.9000000000000057
2025-12-20,St. Bonaventure,Le Moyne,1,11,3.702272727272714,-12.314393939393923,-3.6060606060606055,-0.030303030303029388,4.037878787878788,-0.5151515151515156,15.399999999999999,8.6,-0.7000000000000028
2026-01-07,St. Bonaventure,Richmond,1,-9,-2.0752380952380918,0.732857142857128,-6.761904761904759,1.647619047619047,2.833333333333334,-2.647619047619049,1.0,0.9,-0.29999999999999716
2026-01-10,St. Bonaventure,Fordham,1,-4,5.015833333333333,8.991250000000008,-4.487500000000001,0.08750000000000036,-1.0999999999999996,-3.9250000000000007,-5.0,2.9,3.5999999999999943
2026-01-14,St. Bonaventure,Saint Joseph's,-1,-4,8.08272058823529,1.794117647058826,-7.1911764705882355,-0.036764705882353255,-0.39705882352941124,-3.5882352941176485,-3.1999999999999997,-0.8,-0.29999999999999716
2026-01-17,St. Bonaventure,La Salle,-1,-4,13.762745098039218,-4.322875816993459,2.7549019607843164,-0.6503267973856204,1.238562091503269,0.27777777777777857,8.0,-0.7,1.2999999999999972
2026-01-20,St. Bonaventure,Loyola Chicago,1,14,11.39678362573099,-9.816666666666663,-6.1812865497076,-1.4093567251461998,1.6374269005847957,0.33625730994151937,11.799999999999999,0.6,2.0
2026-01-23,St. Bonaventure,Saint Louis,1,-35,-10.33684210526313,14.100000000000009,-7.631578947368421,-1.3157894736842088,1.0,-8.578947368421051,-15.8,-4.4,-3.799999999999997
2026-01-28,St. Bonaventure,Duquesne,-1,8,0.18999999999999773,3.759999999999991,-6.75,-2.6500000000000004,2.1500000000000004,-3.1999999999999993,-7.8,-0.6000000000000001,-2.1000000000000085
2026-01-31,St. Bonaventure,George Mason,1,-4,-2.5333333333333172,7.176190476190499,2.095238095238095,0.7142857142857135,2.428571428571429,-2.333333333333332,-7.800000000000001,-0.30000000000000004,3.5
2026-02-03,St. Bonaventure,Dayton,-1,-2,3.872727272727275,7.40454545454547,-3.545454545454543,-0.7272727272727284,2.545454545454545,-0.7727272727272734,-0.40000000000000036,-4.2,0.09999999999999432
2026-02-07,St. Bonaventure,Fordham,-1,3,5.826086956521735,9.678260869565221,-3.6521739130434803,-0.0434782608695663,-1.695652173913043,-3.6521739130434767,-3.8,2.9,3.5999999999999943
2026-02-14,St. Bonaventure,Duquesne,1,-5,-0.7124999999999915,2.9375,-7.166666666666668,-1.75,1.125,-2.708333333333332,-11.4,-0.6000000000000001,-2.1000000000000085
2026-02-18,St. Bonaventure,Saint Joseph's,1,-6,6.6640000000000015,5.768000000000001,-8.36,-0.6799999999999997,-0.9199999999999999,-3.6799999999999997,-4.2,-0.8,-0.29999999999999716
2026-02-21,St. Bonaventure,Richmond,-1,-5,0.27891737891738444,1.4910256410256295,-5.299145299145298,1.632478632478632,2.1438746438746445,-1.9330484330484339,3.4000000000000004,0.9,-0.29999999999999716
2026-02-26,St. Bonaventure,Rhode Island,1,18,5.003703703703721,6.2777777777777715,-4.148148148148145,-0.5925925925925934,0.8148148148148149,1.1111111111111107,-0.6000000000000001,-0.30000000000000004,1.5999999999999943
2026-02-28,St. Bonaventure,George Mason,-1,-13,0.7571428571428527,4.782142857142844,1.1428571428571423,0.5714285714285712,1.6785714285714288,-1.5357142857142847,12.2,-0.30000000000000004,3.5
2026-03-04,St. Bonaventure,George Washington,-1,-9,-5.327586206896555,4.437931034482759,-8.758620689655174,-1.4137931034482758,-1.0344827586206904,-1.6206896551724164,-9.2,-2.3,-1.7000000000000028
2026-03-07,St. Bonaventure,Davidson,1,-5,1.2433333333333252,5.809999999999988,-5.266666666666666,1.1999999999999993,1.5,0.36666666666666714,-5.6,-0.7,3.5
2026-03-11,St. Bonaventure,La Salle,0,19,11.83548387096775,-0.04838709677419217,1.2903225806451601,-0.5483870967741922,0.19354838709677402,0.7741935483870996,3.2,-0.7,1.2999999999999972
2026-03-12,St. Bonaventure,George Mason,0,6,-0.569052419354847,5.534677419354836,0.8901209677419359,0.80241935483871,2.025201612903226,-1.358870967741936,1.2,-0.30000000000000004,3.5
2026-03-13,St. Bonaventure,Dayton,0,-5,2.621700879765399,7.103519061583569,-3.009775171065492,-0.45161290322580605,2.4780058651026398,-0.3304007820136867,-6.0,-4.2,0.09999999999999432
2025-11-20,St. John's (NY),Bucknell,1,48,18.679999999999993,-14.240000000000009,-1.6666666666666679,0.3333333333333339,4.066666666666666,4.800000000000001,26.2,17.700000000000003,3.9000000000000057
2025-11-24,St. John's (NY),Iowa State,0,-1,-8.775000000000006,2.4749999999999943,-2.75,3.0,2.25,3.75,-6.25,-2.0,3.0
2025-11-25,St. John's (NY),Baylor,0,15,-0.020000000000010232,-11.954999999999998,-2.0,0.8499999999999996,1.3499999999999996,5.149999999999999,10.399999999999999,1.1000000000000014,1.9000000000000057
2025-11-26,St. John's (NY),Auburn,0,-11,0.440476190476204,-5.8238095238095156,-3.0,2.4523809523809526,-0.8571428571428577,2.8571428571428577,6.200000000000001,-0.5,1.2999999999999972
2025-12-06,St. John's (NY),Ole Miss,1,5,5.837500000000006,-1.4303571428571473,1.428571428571427,2.071428571428571,3.303571428571429,1.1071428571428577,14.0,1.4000000000000004,1.5
2025-12-13,St. John's (NY),Iona,1,27,6.3465909090909065,-6.142045454545453,-4.625,1.2272727272727266,4.715909090909091,-1.3181818181818166,8.2,17.5,1.4000000000000057
2025-12-16,St. John's (NY),DePaul,1,13,6.464646464646449,-0.9070707070707016,0.14141414141414188,1.7272727272727266,3.878787878787879,1.7878787878787854,0.7999999999999998,5.700000000000001,3.5999999999999943
